title,year,gross
Monster Family,2017,27890108
The Beguiled,2017,27869129
CHIPS,2017,26800152
A Cure for Wellness,2017,26620002
Only the Brave,2017,26351322
Twenty Two,2017,26289378
The Zookeeper's Wife,2017,26152835
The Bride of Badrinath,2017,26134309
A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release,2017,25960664
Love Off the Cuff,2017,25959989
Father Figures,2017,25701244
Fireworks,2017,25672406
Money,2017,25403753
Leap! 2017 Re-release,2017,25376094
The Death of Stalin,2017,24646055
The 8-Year Engagement,2017,24425963
Jolly LLB 2,2017,24214186
I Can Speak,2017,24024444
Wish Upon,2017,23468586
Detroit,2017,23355100
Extraordinary Mission,2017,22757764
The Glass Castle,2017,22088533
Épouse-moi mon pote,2017,21571464
The Prison,2017,21205329
One Hundred Thousand Bad Jokes 2,2017,20460352
Avengers: Infinity War,2018,2048359754
Black Panther,2018,1346913161
Jurassic World: Fallen Kingdom,2018,1308467944
Incredibles 2,2018,1242805359
Aquaman,2018,1151961807
Bohemian Rhapsody,2018,903655259
Venom,2018,856085151
Mission: Impossible - Fallout,2018,791115104
Deadpool 2,2018,734546611
Fantastic Beasts: The Crimes of Grindelwald,2018,655755901
Ant-Man and the Wasp,2018,622674139
Ready Player One,2018,583490172
Operation Red Sea,2018,579330426
Detective Chinatown 2,2018,544185156
Ralph Breaks the Internet,2018,529323962
The Meg,2018,529243742
Hotel Transylvania 3: Summer Vacation,2018,528583774
The Grinch,2018,512453517
Bumblebee,2018,467989645
Dying to Survive,2018,451176639
A Star Is Born,2018,436388866
Rampage,2018,428128233
Mamma Mia! Here We Go Again,2018,395044706
Solo: A Star Wars Story,2018,392924807
Spider-Man: Into the Spider-Verse,2018,375582637
Fifty Shades Freed,2018,371985018
Hello Mr. Billionaire,2018,366961907
The Nun,2018,366050119
Monster Hunt 2,2018,361682618
Peter Rabbit,2018,351266433
Mary Poppins Returns,2018,349537494
A Quiet Place,2018,340939361
Green Book,2018,321752656
Skyscraper,2018,304868961
Ocean's Eight,2018,297718711
Pacific Rim: Uprising,2018,290930148
Maze Runner: The Death Cure,2018,288175335
Tomb Raider,2018,274950803
Halloween,2018,255485178
Crazy Rich Asians,2018,239032921
Smallfoot,2018,217940103
Creed II,2018,214215889
Us and Them,2018,209221380
The Island,2018,198326350
Christopher Robin,2018,197744377
The Equalizer 2,2018,190400157
Project Gutenberg,2018,188116796
The Mule,2018,174804407
The Nutcracker and the Four Realms,2018,173961069
Insidious: The Last Key,2018,167885588
The Predator,2018,160542134
Johnny English Strikes Again,2018,158970776
Red Sparrow,2018,151572634
More Than Blue,2018,142958164
The First Purge,2018,137056262
How Long Will I Love U,2018,136796719
A Wrinkle in Time,2018,132675864
The House with a Clock in Its Walls,2018,131457147
Instant Family,2018,120556201
A Cool Fish,2018,118153135
Game Night,2018,117679066
Dragon Ball Super: Broly,2018,115750445
The Monkey King 3,2018,115084576
First Man,2018,105697415
Book Club,2018,104438188
Night School,2018,103105878
Detective Conan: Zero the Enforcer,2018,101860359
Alpha,2018,99630675
Along With the Gods: The Last 49 Days,2018,97962238
A Simple Favor,2018,97644617
Boonie Bears: The Big Shrink,2018,96845907
The Favourite,2018,95918706
Truth or Dare,2018,95330493
Kill Mobile,2018,94870905
I Feel Pretty,2018,94539426
Blockers,2018,94017294
BlacKkKlansman,2018,93400823
Goosebumps 2: Haunted Halloween,2018,93320380
Shadow,2018,91708374
Overboard,2018,91244913
Sherlock Gnomes,2018,90497778
Detective Dee: The Four Heavenly Kings,2018,90040771
"Hello, Mrs. Money",2018,86874070
Robin Hood,2018,86489031
I Can Only Imagine,2018,86086881
Hidden Man,2018,85170581
Mortal Engines,2018,83672673
iPartment the Movie,2018,81096321
Doraemon the Movie: Nobita's Treasure Island,2018,80920916
Den of Thieves,2018,80509622
Hereditary,2018,80080156
Code Blue: The Movie,2018,78778562
Tag,2018,78230625
Sanju,2018,76693052
Vice,2018,76073488
Widows,2018,75984700
Sicario: Day of the Soldado,2018,75837743
Searching,2018,75462037
The Spy Who Dumped Me,2018,75320680
Animal World,2018,74922830
Amazing China,2018,72506343
Second Act,2018,72282227
Spirited Away 2018 Re-release,2018,70186029
Shoplifters,2018,67999335
12 Strong,2018,67359190
"Love, Simon",2018,66316289
Mile 22,2018,66308758
Life of the Party,2018,65659911
L Storm,2018,64517456
Capernaum,2018,64417003
Isle of Dogs,2018,64241499
Andhadhun,2018,62475342
Adrift,2018,59945012
The 15:17 to Paris,2018,57176286
A or B,2018,56239049
Go Brother!,2018,54663060
Early Man,2018,54622814
Peppermint,2018,53918723
Teen Titans GO! To the Movies,2018,52390236
Slender Man,2018,51738549
Breaking In,2018,51411620
Cry Me a Sad River,2018,51400614
Once Upon a Deadpool 2018 Re-release,2018,51349833
Simmba,2018,51329025
Family is Family,2018,49954866
Death Wish,2018,49562710
The Magic Tuche,2018,47427990
Golden Job,2018,47287851
Mary Queen of Scots,2018,46712809
Uncle Drew,2018,46664414
Acrimony,2018,46403669
Asterix: The Secret of the Magic Potion,2018,46214871
Bajrangi Bhaijaan 2018 Re-release,2018,45579004
Winchester,2018,44019588
Annihilation,2018,43070915
The Possession of Hannah Grace,2018,43016528
Long Day's Journey Into Night,2018,42140994
Overlord,2018,41657844
The Great Battle,2018,41509280
The Darkest Minds,2018,41142379
"Lost, Found",2018,41043552
Holmes & Watson,2018,40466970
Intimate Strangers,2018,39576060
Thugs of Hindostan,2018,39570044
Sink or Swim,2018,39193850
Show Dogs,2018,39156854
Believer,2018,39047153
The Spy Gone North,2018,38844509
On the Basis of Sex,2018,38673750
Taxi 5,2018,38598227
Fat Buddies,2018,37496410
Till The End Of The World,2018,37013733
2.0,2018,36945969
Nothing to Lose,2018,36075317
Mia and the White Lion,2018,35487190
The Girl in the Spider's Web,2018,35164920
The Hate U Give,2018,34934009
Nobody's Fool,2018,33705333
Baaghi 2,2018,33139063
The Hurricane Heist,2018,32517248
All About Me,2018,31920159
Bad Times at the El Royale,2018,31882724
Beautiful Boy,2018,31711319
Hunter Killer,2018,31672678
Super Troopers 2,2018,31626386
The Strangers: Prey at Night,2018,31039126
Gintama 2: Rules are Made to be Broken,2018,30896653
The Way of the Bug,2018,30355804
Clergy,2018,30114115
Ice,2018,29806210
Free Solo,2018,29390279
Dark Figure of Crime,2018,29176133
Pad Man,2018,29045020
Mirai,2018,28756961
Default,2018,27694043
One Cut of the Dead,2018,27590180
The Happytime Murders,2018,27506452
Midnight Sun,2018,27365467
VIP Policeman,2018,27222681
My Neighbor Totoro 2018 Re-release,2018,27083857
The Faces of My Gene,2018,26796279
Badhaai Ho,2018,26125610
Hichki,2018,26055222
Champions,2018,25962612
White Boy Rick,2018,25957482
"Paul, Apostle of Christ",2018,25915966
Keys to the Heart,2018,25375866
Stan & Ollie,2018,24420923
The Witch: Part 1 - The Subversion,2018,24340302
The Accidental Detective 2: In Action,2018,24243825
Killing for the Prosecution,2018,23929620
Pokémon the Movie: The Power of Us,2018,23740788
The Guernsey Literary and Potato Peel Pie Society,2018,23148937
The Crimes That Bind,2018,23144130
New Happy Dad and Son 3: Adventure in Russia,2018,23130469
Padmaavat,2018,22991060
Won't You Be My Neighbor?,2018,22844741
Europe Raiders,2018,22435156
Mojin: The Worm Valley,2018,22381583
Stree,2018,22075730
Avengers: Endgame,2019,2799439100
The Lion King,2019,1656943394
Frozen II,2019,1450026933
Spider-Man: Far from Home,2019,1131927996
Captain Marvel,2019,1128274794
Joker,2019,1078751311
Star Wars: Episode IX - The Rise of Skywalker,2019,1074144248
Toy Story 4,2019,1073394593
Aladdin,2019,1050693953
Jumanji: The Next Level,2019,801693929
Fast & Furious Presents: Hobbs & Shaw,2019,760732926
Ne Zha,2019,726063471
The Wandering Earth,2019,699856699
How to Train Your Dragon: The Hidden World,2019,521799505
Maleficent: Mistress of Evil,2019,491730089
It Chapter Two,2019,473093228
"My People, My Country",2019,450064993
Pokémon: Detective Pikachu,2019,433305346
The Secret Life of Pets 2,2019,431164459
The Captain,2019,417282021
Alita: Battle Angel,2019,404980543
Godzilla: King of the Monsters,2019,387300138
1917,2019,384580017
Once Upon a Time... in Hollywood,2019,377426903
Shazam!,2019,365971656
Dumbo,2019,353284621
John Wick: Chapter 3 - Parabellum,2019,327777335
Crazy Alien,2019,327598891
Knives Out,2019,312897920
Terminator: Dark Fate,2019,261119292
Parasite,2019,258098332
Us,2019,256022707
Pegasus,2019,255863112
Men in Black: International,2019,253890701
Dark Phoenix,2019,252442974
Glass,2019,246999039
The Bravest,2019,245179562
Annabelle Comes Home,2019,231252591
Better Days,2019,225918798
Ford v Ferrari,2019,225508210
Little Women,2019,218843645
The Addams Family,2019,203044905
Rocketman,2019,195320400
Downton Abbey,2019,194694725
Weathering with You,2019,192822685
The Lego Movie 2: The Second Part,2019,192306508
Sheep Without a Shepherd,2019,191602146
The White Storm 2: Drug Lords,2019,189396380
Abominable,2019,188623517
